G0,G30,G60,G90,G120
4.7,5.0,4.8,5.8,6.7
4.6,6.5,5.4,5.8,6.3
4.6,5.6,7.1,5.6,5.2
4.4,6.2,7.3,5.4,5.4
4.7,6.6,7.3,5.1,5.1
4.6,5.1,6.7,6.0,5.5
4.6,5.3,5.9,5.3,4.8
4.6,6.3,6.5,4.9,5.5
4.3,6.8,4.3,6.1,7.1
4.7,6.4,5.8,5.7,5.8
4.6,5.9,5.7,5.4,5.5
4.6,6.4,6.3,5.3,5.1
4.5,6.7,5.6,4.1,6.4
4.4,6.2,6.1,4.9,5.6
4.4,7.0,5.7,4.7,6.5
4.6,6.9,6.3,4.9,4.9
4.6,5.2,6.2,5.3,4.4
4.5,6.2,5.4,5.1,5.6
4.6,5.9,6.8,5.3,5.9
4.4,4.8999999999999995,6.7,6.1,5.4
4.6,6.8,5.8,5.4,5.7
4.5,6.7,6.1,4.6,5.3
4.5,5.9,6.4,4.2,5.1
4.4,6.9,7.0,4.8,6.1
4.6,6.6,7.0,5.6,4.7
4.7,6.3,5.9,5.8,5.8
4.5,6.3,5.6,5.8,5.6
4.5,5.9,6.9,5.6,6.2
4.5,6.1,5.8,6.4,5.1
4.6,6.4,6.3,6.0,4.9
4.5,5.8,5.6,4.7,5.1
4.7,5.6,7.1,5.5,4.4
