G0,G30,G60,G90,G120
4.8,7.4,5.0,3.5,2.1
4.9,6.3,4.8,3.8,4.6
4.9,6.0,4.4,3.8,3.9
4.4,5.6,4.7,3.7,3.4
4.9,3.8,3.1000000000000005,3.8,3.7
4.7,6.3,3.1000000000000005,4.3,4.2
4.6,4.8,3.8000000000000003,3.8,3.5
4.6,5.7,3.3,3.4000000000000004,2.9
4.7,5.9,4.7,3.5,3.8
5.1,5.7,4.1,4.0,4.4
4.9,5.7,3.1999999999999997,4.1,3.7
4.3,6.8,4.3,3.7,3.4
4.4,5.2,4.1,5.0,2.8
5.2,6.0,4.3,3.4000000000000004,4.2
4.4,5.2,3.1999999999999997,2.9,2.6999999999999997
4.4,5.8,4.5,3.6,3.9
4.7,5.1,4.3,4.2,3.8
4.7,6.4,5.2,4.4,3.2
4.6,7.7,4.6,5.1,2.8
5.2,5.6,5.4,3.8,4.3
4.7,6.3,4.5,4.0,3.4
4.9,6.7,3.7,3.5,4.2
4.7,6.1,4.1,4.7,4.5
4.9,6.2,5.0,4.3,3.8
4.7,7.2,4.2,4.1,4.6
4.7,6.8,5.4,4.4,4.0
4.7,5.1,3.5,3.8,3.9
4.4,6.7,4.6,4.1,3.6
4.8,4.3,4.1,3.9,4.4
4.7,5.2,4.6,3.2,3.2
4.5,7.1,4.8,4.2,4.0
5.5,6.6,3.5,4.0,4.1
4.7,5.6,5.3,3.8,3.2
4.7,5.0,4.2,3.9,4.0
4.6,6.6,3.6,4.1,4.4
